Mensajes Agente,Mensajes Cliente,Instruction
Podemos dividirlo en 2 cuotas mensuales de $700.000 cada una o en 3 cuotas mensuales de aproximadamente $466.667 por cuota. ¿Qué opción prefieres para que el pago sea más cómodo?,Prefiero 3 cuotas mensuales.,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Entonces, te comprometes a pagar 3 cuotas mensuales de $466.667 cada una.",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
La primera cuota se efectuará el 01/07/2024.,"Confirmo, muchas gracias.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Hola, habla Sebastián de Sistecredito. ¿Deseas realizar un compromiso de pago para regularizar tu crédito?","Sí, pero tengo dificultades para pagar ahora y necesito opciones.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
Tienes un crédito de $2.500.000 y 65 días de mora.,,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
Podemos dividirlo en 4 cuotas mensuales de $625.000 cada una o en 5 cuotas mensuales de $500.000 cada una. ¿Cuál opción te parece que se adapta mejor a tus necesidades?,"Prefiero 5 cuotas mensuales, ya que cada cuota es menor.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Entonces, te comprometes a pagar 5 cuotas mensuales de $500.000 cada una.",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
La primera cuota se efectuará el 02/07/2024.,"Confirmo, muchas gracias por la opción.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
Es un placer ayudarte.,,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Buenas tardes, soy Valeria de Sistecredito. ¿Deseas realizar un compromiso de pago para regularizar tu crédito?","Sí, por favor, muéstrame las alternativas.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Tienes un crédito de $1.000.000 y 25 días de mora. Dividiéndolo en 2 cuotas mensuales, cada cuota sería de $500.000. ¿Te parece conveniente ese monto?","Sí, me parece una opción sencilla.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Entonces, te comprometes a pagar 2 cuotas mensuales de $500.000 cada una.",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
La primera cuota se realizará el 03/07/2024.,"Confirmo, muchas gracias.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Estamos aquí para ayudarte, ¡gracias por confiar en nosotros!",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Hola, soy Marco de Sistecredito. ¿Deseas realizar un compromiso de pago para regularizar tu crédito?","Sí, necesito ponerme al día, pero me preocupa el valor por cuota.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
Tienes un crédito de $2.300.000 y 70 días de mora.,,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"En 3 cuotas quincenales, cada cuota sería de aproximadamente $766.667; si deseas cuotas más bajas, podemos aumentar a 4 cuotas quincenales, quedando en $575.000 por cuota.",Prefiero 4 cuotas quincenales para reducir el monto por cuota.,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Entonces, te comprometes a pagar 4 cuotas quincenales de $575.000 cada una.",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
La primera cuota se realizará el 04/07/2024.,"Confirmo, muchas gracias.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Perfecto, quedamos en ese compromiso.",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Buenas tardes, soy Patricia de Sistecredito. ¿Deseas realizar un compromiso de pago para regularizar tu crédito?","Sí, pero dispongo de pocos recursos en este momento.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
Tienes un crédito de $1.600.000 y 45 días de mora.,,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
Podemos dividirlo en 3 cuotas mensuales de aproximadamente $533.333 o en 4 cuotas mensuales de $400.000. ¿Cuál opción te parece más cómoda?,4 cuotas mensuales me parecen más accesibles.,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Entonces, te comprometes a pagar 4 cuotas mensuales de $400.000 cada una.",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
La primera cuota se realizará el 05/07/2024.,"Confirmo, muchas gracias.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Perfecto, estamos aquí para apoyarte.",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Hola, soy Ricardo de Sistecredito. ¿Deseas realizar un compromiso de pago para regularizar tu crédito?","Sí, pero me preocupa poder asumir pagos altos.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
Tienes un crédito de $2.000.000 y 55 días de mora.,,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
Podemos dividirlo en 3 cuotas mensuales de $666.667 cada una o en 4 cuotas mensuales de $500.000 cada una. ¿Qué opción prefieres para que el monto por cuota sea menor?,Prefiero 4 cuotas mensuales.,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Entonces, te comprometes a pagar 4 cuotas mensuales de $500.000 cada una.",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
La primera cuota se realizará el 06/07/2024.,"Confirmo, muchas gracias.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Estamos aquí para ayudarte, quedamos en ese plan.",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Buen día, soy Sandra de Sistecredito. ¿Deseas realizar un compromiso de pago para regularizar tu crédito?","Sí, pero estoy pasando por un mal momento económico.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
Tienes un crédito de $2.700.000 y 75 días de mora.,,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Podemos dividirlo en 3 cuotas mensuales de $900.000 o, para reducir el valor, en 6 cuotas mensuales de $450.000 cada una. ¿Qué opción prefieres?","Prefiero 6 cuotas mensuales, ya que el monto por cuota es menor.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Entonces, te comprometes a pagar 6 cuotas mensuales de $450.000 cada una.",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
La primera cuota se realizará el 07/07/2024.,"Confirmo, muchas gracias por la atención.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
Es un placer ayudarte.,,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Buenas tardes, soy Julio de Sistecredito. ¿Deseas realizar un compromiso de pago para regularizar tu crédito?","Sí, pero dudo poder asumir montos altos.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
Tienes un crédito de $1.400.000 y 40 días de mora.,,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
Podemos dividirlo en 2 cuotas quincenales de $700.000 cada una o en 3 cuotas mensuales de aproximadamente $466.667 cada una. ¿Cuál opción prefieres para que el monto sea más cómodo?,Prefiero 3 cuotas mensuales.,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Entonces, te comprometes a pagar 3 cuotas mensuales de $466.667 cada una.",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
La primera cuota se realizará el 08/07/2024.,"Confirmo, muchas gracias.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Hola, soy Gabriela de Sistecredito. ¿Deseas realizar un compromiso de pago para regularizar tu crédito?","Sí, pero realmente no dispongo de mucho dinero en este momento.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
Tienes un crédito de $1.900.000 y 60 días de mora.,,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
Podemos dividirlo en 3 cuotas mensuales de $633.333 cada una o en 4 cuotas mensuales de $475.000 cada una. ¿Cuál opción te parece que se ajusta mejor a tu situación?,Prefiero 4 cuotas mensuales para que el monto sea menor.,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Entonces, te comprometes a pagar 4 cuotas mensuales de $475.000 cada una.",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
La primera cuota se realizará el 09/07/2024.,"Confirmo, muchas gracias por la opción.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Excelente, quedamos en ese compromiso.",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Buenas tardes, soy Alejandro de Sistecredito. ¿Deseas realizar un compromiso de pago para regularizar tu crédito?","Sí, pero tengo serias dificultades financieras.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
Tienes un crédito de $2.300.000 y 80 días de mora.,,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
Podemos dividirlo en 3 cuotas mensuales de $766.667 cada una o en 4 cuotas mensuales de $575.000 cada una. ¿Cuál opción prefieres para que el monto por cuota sea menor?,"Prefiero 4 cuotas mensuales, eso me resulta más accesible.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Entonces, te comprometes a pagar 4 cuotas mensuales de $575.000 cada una.",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
La primera cuota se realizará el 10/07/2024.,"Confirmo, muchas gracias.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Estamos aquí para apoyarte, quedamos en ese compromiso.",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Buen día, soy Mónica de Sistecredito. ¿Deseas realizar un compromiso de pago para regularizar tu crédito?","Sí, necesito encontrar una solución, ya que mi situación es complicada.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
Tienes un crédito de $1.100.000 y 30 días de mora.,,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
Podemos dividirlo en 2 cuotas mensuales de $550.000 cada una. ¿Te parece conveniente este monto?,"Sí, me parece manejable.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Entonces, te comprometes a pagar 2 cuotas mensuales de $550.000 cada una.",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
La primera cuota se realizará el 11/07/2024.,"Confirmo, gracias por la atención.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
Es un placer ayudarte.,,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Buenas días, soy Felipe de Sistecredito. ¿Deseas realizar un compromiso de pago para regularizar tu crédito?","Sí, pero estoy muy preocupado por mi situación financiera.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
Tienes un crédito de $2.900.000 y 89 días de mora.,,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Podemos dividirlo en 5 cuotas mensuales de $580.000 cada una o, para reducir el monto por cuota, en 6 cuotas mensuales de $483.333 cada una. ¿Qué opción te parece mejor?",Prefiero 6 cuotas mensuales para que el valor por cuota sea menor.,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Entonces, te comprometes a pagar 6 cuotas mensuales de $483.333 cada una.",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
La primera cuota se realizará el 12/07/2024.,"Confirmo, muchas gracias.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Quedamos en ese compromiso, ¡estamos para ayudarte!",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Buenas tardes, soy Diana de Sistecredito. ¿Deseas realizar un compromiso de pago para regularizar tu crédito?","Sí, pero me preocupa no tener suficiente dinero.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
Tienes un crédito de $1.700.000 y 50 días de mora.,,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Podemos dividirlo en 3 cuotas quincenales de $566.667 cada una o, si prefieres, en 4 cuotas quincenales de $425.000 cada una. ¿Cuál opción prefieres?",Prefiero 4 cuotas quincenales para que el monto sea menor.,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Entonces, te comprometes a pagar 4 cuotas quincenales de $425.000 cada una.",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
La primera cuota se realizará el 13/07/2024.,"Confirmo, muchas gracias.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
Es un placer ayudarte.,,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Buenas tardes, soy Andrés de Sistecredito. ¿Deseas realizar un compromiso de pago para regularizar tu crédito?","Sí, pero mi situación es complicada y tengo pocos recursos.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
Tienes un crédito de $2.000.000 y 70 días de mora.,,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
Podemos dividirlo en 3 cuotas quincenales de $666.667 cada una o en 4 cuotas mensuales de $500.000 cada una. ¿Cuál opción prefieres para que el monto por cuota sea menor?,"Prefiero 4 cuotas mensuales, ya que así cada pago es menor.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Entonces, te comprometes a pagar 4 cuotas mensuales de $500.000 cada una.",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
La primera cuota se realizará el 14/07/2024.,"Confirmo, muchas gracias.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Perfecto, quedamos en ese compromiso.",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Hola, soy Carla de Sistecredito. ¿Deseas realizar un compromiso de pago para regularizar tu crédito?","Sí, pero estoy pasando por momentos muy difíciles.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
Lamento escuchar eso. Tienes un crédito de $1.300.000 y 40 días de mora.,,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
Podemos dividirlo en 3 cuotas mensuales de $433.333 cada una. ¿Te parece que ese monto es adecuado para ti?,"Me preocupa un poco, ¿podríamos bajarlo?",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Podemos aumentar a 4 cuotas mensuales, lo que reduciría cada cuota a $325.000. ¿Te parece mejor esa opción?","Sí, eso suena mucho más accesible.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Entonces, te comprometes a pagar 4 cuotas mensuales de $325.000 cada una.",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
La primera cuota se realizará el 15/07/2024.,"Confirmo, muchas gracias por la explicación.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Estamos aquí para ayudarte, ¡gracias por confiar en nosotros!","Aprecio mucho la atención, gracias.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Buenas tardes, soy Juan de Sistecredito. ¿Deseas realizar un compromiso de pago para poner al día tu crédito?","Sí, pero dispongo de muy pocos recursos y tengo varias dudas sobre cómo organizar el pago.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
Entiendo. Tienes un crédito de $2.400.000 y 55 días de mora.,,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Inicialmente, en 3 cuotas mensuales, cada cuota sería de $800.000, lo cual puede resultar elevado para ti.","Sí, ese monto es difícil de asumir.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
¿Te parecería mejor aumentar a 6 cuotas mensuales para que cada cuota sea de $400.000?,Eso suena mucho más razonable.,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Entonces, te comprometes a pagar 6 cuotas mensuales de $400.000 cada una.",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
La primera cuota se realizará el 16/07/2024.,"Confirmo, muchas gracias por la solución.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Es un placer ayudarte, quedamos en ese compromiso.",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Hola, soy Sofía de Sistecredito. ¿Deseas realizar un compromiso de pago para regularizar tu crédito?","Sí, pero realmente no dispongo de dinero extra y tengo muchas dudas.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
Tienes un crédito de $1.500.000 y 60 días de mora.,,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Podemos dividirlo en 3 cuotas quincenales de $500.000 cada una o en 4 cuotas quincenales, reduciendo cada cuota a $375.000. ¿Cuál opción prefieres para que el monto sea más cómodo?","Prefiero 4 cuotas quincenales, por favor.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Entonces, te comprometes a pagar 4 cuotas quincenales de $375.000 cada una.",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
La primera cuota se realizará el 17/07/2024.,"Confirmo, muchas gracias por la atención.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Es un placer ayudarte, quedamos en ese compromiso.",Aprecio mucho tu ayuda.,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Buenas tardes, soy Martín de Sistecredito. ¿Deseas realizar un compromiso de pago para poner al día tu crédito?","Sí, pero mi situación es muy complicada en este momento.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
Lamento escuchar eso. Tienes un crédito de $2.800.000 y 89 días de mora.,,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Podemos dividirlo en 3 cuotas mensuales de $933.333 cada una, pero entiendo que ese monto pueda ser elevado para ti.","Sí, ese valor no lo puedo asumir.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"¿Te parecería mejor aumentar a 4 cuotas mensuales, reduciendo cada cuota a $700.000?",Esa opción me suena más razonable.,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Entonces, te comprometes a pagar 4 cuotas mensuales de $700.000 cada una.",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
La primera cuota se realizará el 18/07/2024.,"Confirmo, muchas gracias por la solución.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Agradezco tu confianza, estamos aquí para ayudarte.","Gracias, realmente lo aprecio.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Hola, soy Alicia de Sistecredito. ¿Deseas realizar un compromiso de pago para regularizar tu crédito?","Sí, pero me preocupa mucho el monto de cada cuota.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
Tienes un crédito de $1.900.000 y 70 días de mora.,,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
Podemos dividirlo en 3 cuotas mensuales de $633.333 cada una o aumentar a 4 cuotas mensuales para reducir el valor a $475.000 por cuota. ¿Cuál opción prefieres?,"Prefiero 4 cuotas mensuales, así cada pago es menor.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Entonces, te comprometes a pagar 4 cuotas mensuales de $475.000 cada una.",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
La primera cuota se realizará el 19/07/2024.,"Confirmo, muchas gracias por la información.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Es un placer atenderte, quedamos en ese compromiso.",Aprecio mucho tu ayuda.,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Buenas tardes, soy Víctor de Sistecredito. ¿Deseas realizar un compromiso de pago para poner al día tu crédito?","Sí, pero estoy atravesando serias dificultades financieras.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
Lamento escuchar eso. Tienes un crédito de $2.100.000 y 75 días de mora.,,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
Podemos dividirlo en 3 cuotas quincenales de $700.000 cada una o en 4 cuotas mensuales de $525.000 cada una. ¿Cuál opción te parece que se ajusta mejor a tu situación?,"Prefiero 4 cuotas mensuales, ya que el monto es menor.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Entonces, te comprometes a pagar 4 cuotas mensuales de $525.000 cada una.",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
La primera cuota se realizará el 20/07/2024.,"Confirmo, muchas gracias por la alternativa.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Estamos aquí para ayudarte, quedamos en ese compromiso.",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Hola, soy Ernesto de Sistecredito. ¿Deseas realizar un compromiso de pago para regularizar tu crédito?","Sí, pero realmente estoy muy corto de recursos.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
Tienes un crédito de $1.700.000 y 50 días de mora.,,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Podemos dividirlo en 2 cuotas mensuales de $850.000 cada una, o en 3 cuotas mensuales de aproximadamente $566.667 cada una. ¿Qué opción te resulta mejor para ti?",Prefiero 3 cuotas mensuales para que el monto por cuota sea menor.,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Entonces, te comprometes a pagar 3 cuotas mensuales de $566.667 cada una.",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
La primera cuota se realizará el 21/07/2024.,"Confirmo, muchas gracias por la solución.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Excelente, quedamos en ese compromiso.","Gracias, aprecio la atención.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Buenas tardes, soy Camila de Sistecredito. ¿Deseas realizar un compromiso de pago para regularizar tu crédito?","Sí, pero tengo serios problemas financieros en este momento.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
Tienes un crédito de $2.400.000 y 65 días de mora.,,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
Podemos dividirlo en 4 cuotas mensuales de $600.000 cada una o aumentar a 6 cuotas mensuales para reducir cada cuota a $400.000. ¿Qué opción prefieres?,"Prefiero 6 cuotas mensuales, ya que así cada pago es menor.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Entonces, te comprometes a pagar 6 cuotas mensuales de $400.000 cada una.",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
La primera cuota se realizará el 22/07/2024.,"Confirmo, muchas gracias.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Estamos aquí para apoyarte, quedamos en ese compromiso.",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Hola, soy Rodrigo de Sistecredito. ¿Deseas realizar un compromiso de pago para regularizar tu crédito?","Sí, pero estoy muy preocupado por mi situación actual.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
Tienes un crédito de $2.000.000 y 70 días de mora.,,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Podemos dividirlo en 3 cuotas quincenales de $666.667 cada una o, para reducir el monto, en 4 cuotas quincenales de $500.000 cada una. ¿Cuál opción prefieres?",Prefiero 4 cuotas quincenales para que el monto sea menor.,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Entonces, te comprometes a pagar 4 cuotas quincenales de $500.000 cada una.",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
La primera cuota se realizará el 23/07/2024.,"Confirmo, muchas gracias por la ayuda.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Es un placer atenderte, quedamos en ese compromiso.",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Buenas tardes, habla Javier de Sistecredito. ¿Deseas realizar un compromiso de pago para regularizar tu crédito?","Sí, pero no puedo pagar el total de una vez y tengo muchas dudas sobre las opciones.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
Tienes un crédito de $1.800.000 y 80 días de mora.,,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
Podemos dividirlo en 3 cuotas mensuales de $600.000 cada una o en 4 cuotas mensuales de $450.000 cada una. ¿Cuál opción consideras que se ajusta mejor a tus necesidades?,"Me preocupa que 3 cuotas sean demasiado altas, así que prefiero 4 cuotas mensuales.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Entonces, te comprometes a pagar 4 cuotas mensuales de $450.000 cada una.",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
La primera cuota se realizará el 24/07/2024.,"Muchas gracias por las alternativas, eso me convence.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Si en algún momento necesitas revisar el plan, estamos aquí para ayudarte.","Lo tendré en cuenta, confirmo mi compromiso.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Excelente, quedamos en 4 cuotas mensuales de $450.000 cada una.","Agradezco la atención y la amabilidad, muchas gracias.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Es un placer ayudarte, ¡muchas gracias por confiar en nosotros!",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
